"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015",
"Botswana","BWA","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5234.81718818127","5647.63328199885","5780.60221032335","5871.11914752209","6057.04223079921","6462.09081289228","6810.13624479813","7328.00604480863","7317.56280332647","8003.47133549341","8212.67718710664","8296.89229847837","8814.83811284495","9283.02599335709","9661.29621534267","10268.5208198272","11235.5501887176","12310.3081196943","13081.9991930298","11934.076284564","12854.1371539631","13634.2684626754","14255.4574112874","15499.1498948483","16099.284231009","",
"Central African Republic","CAF","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","604.821773087684","606.409698027346","565.697734246674","566.123978393085","591.058620593099","630.90261269096","602.046267122229","629.920293807666","651.938101909248","671.425309371562","656.536823181374","688.792923680521","712.435686825084","676.293842843498","724.616900234943","742.123525644875","779.026550247661","821.67809713776","839.365104086369","844.202710353071","864.009912908322","893.679458561272","928.972630537558","591.287014023445","594.164280961147","",
"Canada","CAN","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20019.8112659983","19974.00649599","20352.5033358077","21147.3197013381","22364.8974034699","23263.1352259042","23827.6281571889","25000.5753114498","26090.8946557504","27584.7856856468","29075.9454241459","29936.9334000574","30630.7396948016","32019.2610384339","33594.0479835876","35973.4915112799","37822.2482362751","39226.3476832151","40108.2894784759","38709.0500766164","40055.2721379216","41567.4317710229","42280.8333135057","43033.1495657099","44088.5404485529","",
"Central Europe and the Baltics","CEB","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6882.30024703831","6452.93912456448","6496.63789476155","6752.84491320962","7184.83516561726","7766.54188079587","8271.9919636486","8707.37058320931","9110.06719804116","9405.90986107039","10088.2213764516","10863.5562586787","11640.9188835158","12320.3546393998","13375.5273461093","14279.2881550476","15932.1562895551","17763.2693261325","19289.1681678115","19374.0373669325","20320.1736401551","21678.6701805798","22316.9344603196","23057.0450669859","23890.2899220943","",
"Switzerland","CHE","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26765.4579186726","27062.7718886577","27364.183490497","27726.2764269671","28448.1916242145","28986.844759079","29704.7119770435","30943.4852056093","32000.5726162122","32558.0104531536","34509.2849570951","35372.6292588964","36376.6922104214","36415.7839217043","37771.0148518725","39152.8735045402","43377.7732979643","47409.4627758826","50438.761655835","49919.2460378153","51321.5104489587","54550.6924807603","55915.4998521008","56939.6702925391","","",
"Channel Islands","CHI","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4407.19938550916","4887.03830505469","5579.52692459856","6077.83438861932","6528.17384153767","7338.52095578519","7993.25068678586","8599.40382573915","8907.97896909716","8846.43003079056","9848.90193816658","10249.8352041484","10535.5697276295","11133.5747129402","11991.2777192034","12964.804939571","15641.8110264347","16846.0082626145","16441.8963152754","16230.4227503716","18256.196642289","20266.0360279017","21183.0463996943","21967.5792959365","22345.9611132332","",
"China","CHN","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","979.97759285363","1091.44964160555","1260.16238972945","1453.1580688094","1659.31151060547","1859.82942143691","2060.02869553012","2265.31357699545","2446.14991959534","2649.74514438535","2915.41464525811","3205.92744893863","3527.35188775988","3933.59947691467","4422.65029877912","5053.37902381957","5836.8327446456","6807.11216377971","7569.679854598","8290.08887819498","9238.75523339591","10274.4943512259","11214.7687898959","12196.074448963","13216.5418907598","",
"Cote d'Ivoire","CIV","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2081.5092990809","2077.38916887666","2047.1006990938","2021.6117062136","2013.65026338789","2133.24787001707","2269.52435348338","2325.24054684756","2398.61379805195","2411.94026938375","2360.20634691123","2367.13422450835","2319.37780559779","2292.62816042227","2343.02948012263","2415.25065725598","2478.83844920595","2538.13190156208","2598.69021905574","2645.43086807912","2671.13979517453","2546.90691863193","2802.41201746051","3031.67816865451","3271.71046238472","",
"Cameroon","CMR","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1789.25583498659","1726.90323058636","1662.5047591692","1522.7416469107","1542.97981644361","1595.12182225199","1657.8896422466","1728.45852603079","1784.3888085166","1836.00100099264","1905.37094601165","1984.23792113774","2041.7601126735","2111.16425166287","2192.34973525008","2256.1973510433","2339.80724806578","2417.74891107546","2472.46952047846","2475.60565592049","2522.88180004198","2614.49556147628","2714.10560078293","2835.52433979112","2971.08128930816","",
"Congo, Rep.","COG","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3397.58125089031","3501.37374275914","3580.06709072687","3535.97863738655","3324.43707151462","3436.54739137692","3552.01228859689","3493.11392500128","3564.5405366001","3433.82334613193","3684.10005851606","3819.67933779923","3965.12326000331","3985.66779631209","4137.02192735468","4482.45357684329","4770.05786783751","4675.45667752369","4879.0385318462","5125.45058164239","5482.11135457295","5632.43587545625","5800.42056197542","5939.53700244961","6263.00916999767","",
"Colombia","COL","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4869.15522276792","5050.72300485789","5327.88488595121","5485.49530163355","5827.99170983978","6155.68507109555","6294.8620752942","6520.03696786691","6528.90063746861","6256.81013851027","6585.33393125396","6750.68708954557","6927.32088814149","7241.33194506503","7732.32052392116","8248.35493394328","8957.3365791711","9710.90112380387","10132.239435827","10260.2051532025","10680.0020343587","11496.5272523381","12052.9168690479","12711.2555673937","13357.146129211","",
"Comoros","COM","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1025.25723565538","973.130450755304","1049.07050960202","1074.73549060283","1010.43512465776","1039.1871450605","1016.08861639445","1046.37999120161","1043.18080423995","1051.76507160513","1063.4878267177","1186.63793731315","1203.07709490269","1222.9781425591","1250.25367508348","1295.4287561532","1337.74918811385","1351.10118860173","1349.83694070588","1353.19546930141","1366.09713080229","1396.03335142985","1428.43679788699","1464.45988178486","1494.09380063768","",
"Cabo Verde","CPV","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1072.87968525114","1098.18938439465","1214.28073059551","1314.9319732629","1556.82866094332","1766.68831116391","1951.15446117915","2149.79102512358","2386.44393295367","2634.08355348917","3014.57244311794","3091.34296704412","3245.29593128844","3393.99429569931","3791.21921371623","4137.48614523049","4566.16620138367","5365.04265295768","5803.38597405872","5739.37621909364","5850.14530533637","6147.97453394255","6253.92398931906","6332.68773846275","6515.62378736121","",
"Costa Rica","CRI","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4712.55254518916","4869.36961409656","5299.64330815849","5682.24979006819","5927.3957192502","6135.62044605371","6152.64766975549","6452.75890438239","6911.70263105672","7433.92965566378","7588.72594968694","7705.1607635262","7918.92027150308","8463.38046218022","8934.26881206056","9624.79687913566","10638.8368433597","11624.9686569384","12011.7309213202","11823.1919546232","12402.959239315","13072.1425592889","13833.1055874192","14360.4665776662","14918.0732964431","",
"Caribbean small states","CSS","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5658.72813972748","5949.75422348821","6057.41699770154","6331.78998173199","6596.48122742561","6868.82111179492","7101.01741544416","7312.78964341552","7527.89153872884","7830.19462843089","8206.17963600006","8526.86153096015","9041.31772732252","9914.87096033332","10723.8070735569","11501.3814533398","12972.5040506754","13693.7780878439","14099.1652680663","13623.9387944922","13743.4742312022","14020.035564991","14409.8609790225","14670.6147540015","","",
"Cuba","CUB","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8851.13863971264","8104.65854912097","7280.83107700621","6308.72368968815","6455.76301581031","6719.77634653669","7345.59091489376","7647.93536454964","7713.89908637603","8287.85604957145","8948.60263931397","9414.41356865515","9666.82914600245","10205.758602956","11066.045097918","12678.6044370786","14626.5245751001","16093.6290397576","17075.4912720022","17443.3628393518","18061.0095711227","18924.7632701642","19811.8633734714","20611.0396347238","","",
"Curacao","CUW","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","49902.1465489682","","","","",
"Cyprus","CYP","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13204.9560876374","13394.172480205","14593.7680701457","14686.5931161341","15558.9397347809","16549.5613817042","16900.7828665052","17358.5928771066","18349.3150157839","19211.7552661235","20732.1523729931","22347.789743139","22994.6296427864","23827.478998586","25602.8020671885","27331.0092493396","29724.5807603358","31770.1525994614","34825.6160071671","34098.7669426026","33934.3918251109","32983.1139065648","32553.543728461","31198.0981361248","30873.184280466","",
"Czech Republic","CZE","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12731.2258345626","11655.0135452749","11848.1817077598","12124.9721740847","12738.6640569524","13821.881487228","14699.9276585884","14904.0614589627","14976.7184015466","15387.3753011263","16286.8209502626","17646.017309915","18318.354946634","19607.3356955461","20990.2819335853","22286.457189578","24415.8833003245","26683.1977097244","27111.5481990756","27017.4542645953","27050.957822152","28603.4944491847","28674.4897114726","29017.8364426335","30444.9498099358","",
"Germany","DEU","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19054.6661727052","20544.4835334242","21254.3903010311","21411.0058436603","22325.8792191995","23110.8092650558","23659.9204316755","24172.3435474357","24846.9028831222","25759.9238118182","26600.1145421289","27679.7478800403","28397.1594920658","29319.4703528595","30662.0496235888","32141.5322066069","34667.6486449271","36735.8408847459","38382.9227959824","37070.1356271734","39553.2006202008","42079.8757469686","43522.4443570681","43887.320875197","45615.8111934761","",
